fare_id,origin_id,destination_id,Price,currency_type,origin_station,destination_station
264,RICH,12TH,3.2,USD,Richmond,12th Street Oakland
265,RICH,LAKE,3.2,USD,Richmond,Lake Merritt
266,RICH,FTVL,3.55,USD,Richmond,Fruitvale
267,RICH,COLS,3.8,USD,Richmond,Coliseum
268,RICH,SANL,4.15,USD,Richmond,San Leandro
269,RICH,BAYF,4.4,USD,Richmond,Bay Fair
270,RICH,HAYW,4.7,USD,Richmond,Hayward
271,RICH,SHAY,5.05,USD,Richmond,South Hayward
272,RICH,UCTY,5.6,USD,Richmond,Union City
273,RICH,FRMT,5.95,USD,Richmond,Fremont
274,RICH,CAST,4.7,USD,Richmond,Castro Valley
275,RICH,DUBL,5.95,USD,Richmond,Dublin/Pleasanton
276,RICH,PITT,6,USD,Richmond,Pittsburg/Bay Point
277,RICH,NCON,5.4,USD,Richmond,North Concord/Martinez
278,RICH,COLM,5.7,USD,Richmond,Colma
279,RICH,CONC,5.2,USD,Richmond,Concord
280,RICH,PHIL,4.75,USD,Richmond,Pleasant Hill
281,RICH,WCRK,4.55,USD,Richmond,Walnut Creek
282,RICH,LAFY,4.2,USD,Richmond,Lafayette
283,RICH,ORIN,3.75,USD,Richmond,Orinda
284,RICH,ROCK,3.05,USD,Richmond,Rockridge
285,RICH,WOAK,3.4,USD,Richmond,West Oakland
286,RICH,EMBR,5.2,USD,Richmond,Embarcadero
287,RICH,MONT,5.2,USD,Richmond,Montgomery Street
288,RICH,POWL,5.2,USD,Richmond,Powell Street
289,RICH,CIVC,5.2,USD,Richmond,Civic Center
290,RICH,16TH,5.3,USD,Richmond,16th Street Mission
291,RICH,24TH,5.35,USD,Richmond,24th Street Mission
292,RICH,GLEN,5.5,USD,Richmond,Glen Park
293,RICH,BALB,5.6,USD,Richmond,Balboa Park
294,RICH,DALY,5.75,USD,Richmond,Daly City
295,RICH,OAKL,10.5,USD,Richmond,Oakland City Center/12th St
296,RICH,WARM,6.45,USD,Richmond,Warm Springs/South Fremont
297,RICH,MLPT,7.25,USD,Richmond,Milpitas
298,RICH,BERY,7.5,USD,Richmond,Berryessa/North San Jose
299,RICH,PCTR,6.15,USD,Richmond,Pittsburg Center
300,RICH,ANTC,6.9,USD,Richmond,Antioch
301,DELN,SSAN,5.7,USD,Del Norte,South San Francisco
302,DELN,SBRN,5.95,USD,Del Norte,San Bruno
303,DELN,SFIA,11.15,USD,Del Norte,San Francisco International Airport
304,DELN,MLBR,6.35,USD,Del Norte,Millbrae
305,DELN,WDUB,5.5,USD,Del Norte,West Dublin/Pleasanton
306,DELN,RICH,2.15,USD,Del Norte,Richmond
307,DELN,DELN,6.4,USD,Del Norte,Del Norte
308,DELN,PLZA,2.15,USD,Del Norte,El Cerrito Plaza
309,DELN,NBRK,2.15,USD,Del Norte,North Berkeley
310,DELN,DBRK,2.15,USD,Del Norte,Downtown Berkeley
311,DELN,ASHB,2.15,USD,Del Norte,Ashby
312,DELN,MCAR,2.6,USD,Del Norte,MacArthur
313,DELN,19TH,2.85,USD,Del Norte,19th Street Oakland
314,DELN,12TH,2.85,USD,Del Norte,12th Street Oakland
315,DELN,LAKE,2.85,USD,Del Norte,Lake Merritt
316,DELN,FTVL,3.35,USD,Del Norte,Fruitvale
317,DELN,COLS,3.55,USD,Del Norte,Coliseum
318,DELN,SANL,3.9,USD,Del Norte,San Leandro
319,DELN,BAYF,4.15,USD,Del Norte,Bay Fair
320,DELN,HAYW,4.45,USD,Del Norte,Hayward
321,DELN,SHAY,4.8,USD,Del Norte,South Hayward
322,DELN,UCTY,5.35,USD,Del Norte,Union City
323,DELN,FRMT,5.75,USD,Del Norte,Fremont
324,DELN,CAST,4.45,USD,Del Norte,Castro Valley
325,DELN,DUBL,5.7,USD,Del Norte,Dublin/Pleasanton
326,DELN,PITT,5.75,USD,Del Norte,Pittsburg/Bay Point
327,DELN,NCON,5.2,USD,Del Norte,North Concord/Martinez
328,DELN,COLM,5.45,USD,Del Norte,Colma
